author,average_rating,best_book,best_book_rating
Pablo Neruda,4.34,The Essential Neruda: Selected Poems,4.46
Octavio Paz,4.22,The Collected Poems  1957-1987,4.3
Isaac Bashevis Singer,4.2,Collected Stories III: One Night in Brazil to The Death of Methuselah,4.61
Sigrid Undset,4.17,The Son Avenger (The Master of Hestviken  #4),4.4
Eugene O'Neill,4.11,Complete Plays 1920–1931,4.18
Seamus Heaney,4.1,New Selected Poems 1966-1987,4.19
Thomas Mann,4.08,Doctor Faustus,4.08
Samuel Beckett,4.05,Molloy  Malone Dies  The Unnamable (The Trilogy  #1-3),4.28
T.S. Eliot,4.05,The Waste Land and Other Writings,4.21
Bob Dylan,4.04,The Essential Interviews,4.11
Boris Pasternak,4.04,Letters: Summer 1926,4.26
Albert Camus,4.04,The Plague  The Fall  Exile and the Kingdom  and Selected Essays,4.34
John Steinbeck,4.03,The Grapes of Wrath and Other Writings 1936–1941: The Long Valley / The Grapes of Wrath / The Log from the Sea of Cortez / The Harvest Gypsies,4.41
Naguib Mahfouz,4.01,The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),4.46
Hermann Hesse,4.01,Narcissus and Goldmund,4.2
Alice Munro,4.0,Selected Stories,4.28
William Faulkner,3.99,Novels 1942–1954: Go Down  Moses / Intruder in the Dust / Requiem for a Nun / A Fable,4.44
Rudyard Kipling,3.97,If: A Father's Advice to His Son,4.39
José Saramago,3.96,The Gospel According to Jesus Christ,4.29
Gabriel García Márquez,3.94,Collected Stories,4.19
Toni Morrison,3.93,Playing in the Dark: Whiteness and the Literary Imagination,4.24
Ernest Hemingway,3.93,The Ernest Hemingway Audio Collection,4.3
Luigi Pirandello,3.93,One  No One and One Hundred Thousand,4.1
Mario Vargas Llosa,3.92,La tía Julia y el escribidor,3.92
George Bernard Shaw,3.9,Pygmalion & My Fair Lady,4.26
Jean-Paul Sartre,3.88,The Age of Reason,3.98
Knut Hamsun,3.87,Mysteries,4.09
Halldór Laxness,3.85,Independent People,4.17
Wole Soyinka,3.85,Aké: The Years of Childhood,3.93
Sinclair Lewis,3.83,Elmer Gantry,3.99
Saul Bellow,3.79,Novels 1956–1964: Seize the Day / Henderson the Rain King / Herzog,4.19
Yasunari Kawabata,3.76,Palm-of-the-Hand Stories,3.99
Doris Lessing,3.76,The Golden Notebook,3.76
Orhan Pamuk,3.71,The Black Book,3.91
Kazuo Ishiguro,3.71,Never Let Me Go,3.82
William Golding,3.58,Lord of the Flies,3.68
Günter Grass,3.54,Katz und Maus,3.54
Peter Handke,3.27,On a Dark Night I Left My Silent House,3.27
Sully Prudhomme,-1,No book in dataset,-1
Theodor Mommsen,-1,No book in dataset,-1
Bjørnstjerne Bjørnson,-1,No book in dataset,-1
José Echegaray,-1,No book in dataset,-1
Frédéric Mistral,-1,No book in dataset,-1
Henryk Sienkiewicz,-1,No book in dataset,-1
Giosuè Carducci,-1,No book in dataset,-1
Rudolf Eucken,-1,No book in dataset,-1
Selma Lagerlöf,-1,No book in dataset,-1
Paul Heyse,-1,No book in dataset,-1
Maurice Maeterlinck,-1,No book in dataset,-1
Gerhart Hauptmann,-1,No book in dataset,-1
Rabindranath Tagore,-1,No book in dataset,-1
Romain Rolland,-1,No book in dataset,-1
Verner von Heidenstam,-1,No book in dataset,-1
Karl Gjellerup,-1,No book in dataset,-1
Henrik Pontoppidan,-1,No book in dataset,-1
Carl Spitteler,-1,No book in dataset,-1
Anatole France,-1,No book in dataset,-1
Jacinto Benavente,-1,No book in dataset,-1
William Butler Yeats,-1,No book in dataset,-1
Wladyslaw Reymont,-1,No book in dataset,-1
Grazia Deledda,-1,No book in dataset,-1
Henri Bergson,-1,No book in dataset,-1
Erik Axel Karlfeldt,-1,No book in dataset,-1
John Galsworthy,-1,No book in dataset,-1
Ivan Bunin,-1,No book in dataset,-1
Roger Martin du Gard,-1,No book in dataset,-1
Pearl Buck,-1,No book in dataset,-1
Frans Eemil Sillanpää,-1,No book in dataset,-1
Johannes V. Jensen,-1,No book in dataset,-1
Gabriela Mistral,-1,No book in dataset,-1
André Gide,-1,No book in dataset,-1
Bertrand Russell,-1,No book in dataset,-1
Pär Lagerkvist,-1,No book in dataset,-1
François Mauriac,-1,No book in dataset,-1
Winston Churchill,-1,No book in dataset,-1
Juan Ramón Jiménez,-1,No book in dataset,-1
Salvatore Quasimodo,-1,No book in dataset,-1
Saint-John Perse,-1,No book in dataset,-1
Ivo Andric,-1,No book in dataset,-1
Giorgos Seferis,-1,No book in dataset,-1
Mikhail Sholokhov,-1,No book in dataset,-1
Shmuel Agnon,-1,No book in dataset,-1
Nelly Sachs,-1,No book in dataset,-1
Miguel Angel Asturias,-1,No book in dataset,-1
Alexandr Solzhenitsyn,-1,No book in dataset,-1
Heinrich Böll,-1,No book in dataset,-1
Patrick White,-1,No book in dataset,-1
Eyvind Johnson,-1,No book in dataset,-1
Harry Martinson,-1,No book in dataset,-1
Eugenio Montale,-1,No book in dataset,-1
Vicente Aleixandre,-1,No book in dataset,-1
Odysseus Elytis,-1,No book in dataset,-1
Czeslaw Milosz,-1,No book in dataset,-1
Elias Canetti,-1,No book in dataset,-1
Jaroslav Seifert,-1,No book in dataset,-1
Claude Simon,-1,No book in dataset,-1
Joseph Brodsky,-1,No book in dataset,-1
Camilo José Cela,-1,No book in dataset,-1
Nadine Gordimer,-1,No book in dataset,-1
Derek Walcott,-1,No book in dataset,-1
Kenzaburo Oe,-1,No book in dataset,-1
Wislawa Szymborska,-1,No book in dataset,-1
Dario Fo,-1,No book in dataset,-1
Xingjian Gao,-1,No book in dataset,-1
V. S. Naipaul,-1,No book in dataset,-1
Imre Kertész,-1,No book in dataset,-1
J. M. Coetzee,-1,No book in dataset,-1
Elfriede Jelinek,-1,No book in dataset,-1
Harold Pinter,-1,No book in dataset,-1
Jean-Marie Gustave Le Clézio,-1,No book in dataset,-1
Herta Müller,-1,No book in dataset,-1
Tomas Tranströmer,-1,No book in dataset,-1
Mo Yan,-1,No book in dataset,-1
Patrick Modiano,-1,No book in dataset,-1
Svetlana Alexievich,-1,No book in dataset,-1
Olga Tokarczuk,-1,No book in dataset,-1
Louise Glück,-1,No book in dataset,-1
Abdulrazak Gurnah,-1,No book in dataset,-1
Annie Ernaux,-1,No book in dataset,-1
